Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,2.043163549,2.461314293,2.074099119,2.341733616,2.097794479,2.099312064,2.041148687,2.174214423,2.153617642,2.309642148,2.675426778,3.158858073,3.650697345,3.993628076,4.157420053,3.958800667,3.744559806,3.846550327,3.968411116,3.968658515,3.976302356,3.675608334,3.900564474,4.897460853,5.199337906,5.204937492,4.782088051,3.731028802,2.942399843,3.094316841,2.617742396,2.139543856,1.833531539,1.825607491,1.827185151,2.277841731,2.00312046,1.959734933,2.023797734,1.770485937,1.863809283,1.675980069,1.704305011,1.666347752,1.929327383,1.914091841,1.535153969,1.50108837,1.533812543,1.729583099,1.759074803,1.535154238,1.274468165,1.28362151,1.120060615,1.074138355,1.125082371,1.029207291,1.008202227,0.999401723
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.629606099,,,1.868910256,1.610824742,1.722065728,2.046086957,2.011474793,,,,,,,,,,,,,,,,,,,,,,,,,,,2.431253787,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006745856,1.170968382,1.358856927,1.827933856,,
Africa Western and Central,AFW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.314715814,1.313331026,1.441845414,1.468358954,1.366721162,,5.39674585,6.267609606,3.940454017,3.104811396,3.794756609,3.749919323,3.330074641,5.561633137,4.302300057,4.27198179,3.788923765,3.201143299,2.488960405,2.496686743,2.106501752,2.09310783,1.600645162,1.549023085,1.519547806,1.235774003,1.290564893,1.133921507,1.153105448,1.137531862,1.109823431,1.249678854,0.961757312,0.641819858,0.538495767,0.560893148,0.646377766,1.002278019,0.840602897,1.055177491,1.126145221,0.922559931,0.85210588,0.683904207,0.649396619,0.704031008,0.82830076,0.921355267,0.83306974,0.805995103,0.714249107,0.767490964,0.732370016,0.678454572,0.822223218,0.819669483,0.845913326,0.797267359,0.943009218,1.16304545,0.991708852,1.177398921
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-05,1.73E-05,22.25,21.9805,19.43233333,17.46366667,7.1025,5.682830543,17.52258908,5.709280691,4.707392768,2.447848157,5.972268207,2.642011881,17.33469221,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120381,4.709610048,4.177584522,3.255660351,3.236659499,4.455239422,4.698454516,3.105426293,2.733334945,2.507982806,1.95578681,1.739072339,1.736993958,1.300999928,1.316819532,1.33252916
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,6.052021633,5.848317053,5.651595745,5.44128199,6.117504543,5.651426199,5.626186504,5.862228923,5.617316628,5.167612724,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.109151006,1.160544785,1.280805962,1.295835703,1.242988084,1.210983436,1.743991677
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,5.053869306,5.835848414,6.23719933,6.557924294,6.667445682,6.800709156,7.557049364,8.037995253,7.754422965,7.139358457,7.593708402,,,,9.87197092,9.879384966,8.996949557,8.017569719,9.210333146,11.15009814,11.04783873,11.5402769,10.38701311,,8.565454084,8.061225735,,,10.75314118,8.607756172,7.851714639,7.408767281,6.606824642,6.026379884,6.577462322,7.472890312,6.423314784,6.38968187,6.335797448,5.822359579,5.397540523,5.032286071,4.567251106,4.314571244,4.453554302,4.133258571,5.225779432,4.970554521,4.862966608,4.948960274,5.700340997,6.30909557,7.337917888,6.04420885,6.25600169,5.746053155,5.26858156,5.599424441,4.967342538,4.545841863,5.089677782
United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.759061481,8.62972121,7.669537998,8.323722245,5.612105523,4.875531805,4.692306267,4.61147764,3.656470678,3.225974473,3.28052137,3.668022649,5.457107773,6.038592208,5.466314528,5.075556494,6.034686251,5.643651352,,,,,,,,,
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.55,2.14,2.66,1.68,1.15,1.07,1.168,1.4,1.685714286,1.9375,1.877777778,1.807692308,1.823809524,1.848571429,1.659183673,2.041958042,3.781291173,4.008600096,4.719144058,4.673356256,3.098958333,3.465346535,2.704557935,2.738812785,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880365592,1.450909212,1.506926555,1.421222233,1.422802901,1.457038533,1.473073107,1.241227264,1.140139111,1.136318022,1.220359548,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878118,0.764287095,0.784824735,0.837736427,0.878100924,0.850128597,0.809245363,0.847754811,0.732300348,0.699696134,0.734111594,0.630055382,0.686383404,0.472747197
